ANNUAL_SALES,IN_DEFAULT,LGD_EFFECTIVE,BALANCE,RETURN_ON_ASSETS,DEBT_SRV_CVR_RATIO,CASH_INT_CVR_RATIO,DEBT_DEBT_EQ_RATIO,CASH_FLOW_OP_LIAB,EBITDA_VOLATILITY,NET_WORTH_CPI,NEGATIVE_NPAT_FLAG,MARKET_POSITION,LONG_RUN_AVERAGE_PD
115388000.0,False,60.32,2852.77,-0.185503552,0.0,-2.01996921,0.763730754,-0.061980723,3.25,6.36090817,True,2,0.1533932249
754171000.0,True,47.09,4646.83,,,,,,,,True,0,1.0
754171000.0,False,60.32,689.89,,,,,,,,True,0,1.0
73000000.0,False,60.32,83102.27,-0.056329754,0.0,2.356982343,0.6793557525,0.0658180689,1.0,6.365255065,True,3,0.0430745765
53798000.0,False,34.66,1425750.0,0.0734404207,0.0,2.918355125,0.7243370729,0.0,0.0,6.455367928,False,0,0.0321839956
72376000.0,False,34.66,8670481.71,0.0624193045,1.815438517,4.195489888,0.4493898174,0.0,1.0,6.841370167,False,4,0.0230369682
150090000.0,False,60.32,18790.73,0.3099977799,0.0,11.30243651,0.358415153,0.4999485119,-1.0,7.490738655,False,4,0.0035464973
150090000.0,False,60.32,113807.25,0.3099977799,0.0,11.30243651,0.358415153,0.4999485119,-1.0,7.490738655,False,4,0.0035464973
5329530000.0,False,60.32,4095.17,,,,,,,,True,3,1.0
5329530000.0,False,60.32,7696.92,,,,,,,,True,3,1.0
5329530000.0,False,60.32,330693.7,,,,,,,,True,3,1.0
5329530000.0,False,60.32,107083.26,,,,,,,,True,3,1.0
33353310.0,False,60.32,26052.71,-0.077005968,0.0,0.4749859345,0.8710820204,0.0,-1.0,7.22243347,True,0,0.034612118
121617000.0,False,34.66,5272979.12,0.0640242574,1.169525649,2.125635902,0.6908233406,0.0,-0.333333333,6.577672885,False,0,0.0409035215
121617000.0,False,34.66,5272979.12,0.0114953726,1.212434114,1.689363876,0.7483522895,0.0,0.5,6.356937587,False,0,0.0554038369
